,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
16694,209,603,2439,2217,158,460,1404,1257,6374623,5392942,209,158
16695,227,663,2546,2239,142,440,1371,1251,6375059,5393240,227,142
16696,244,635,2546,2288,119,478,1394,1226,6375450,5393599,244,119
16697,226,638,2493,2203,153,461,1431,1290,6375862,5393907,226,153
16698,209,574,2395,2203,143,476,1463,1299,6376227,5394240,209,143
16699,246,619,2515,2272,143,476,1460,1323,6376600,5394573,246,143
16700,262,605,2539,2277,131,484,1386,1243,6376943,5394926,262,131
16701,229,641,2513,2263,150,437,1374,1279,6377355,5395213,229,150
16702,231,644,2423,2170,132,445,1430,1332,6377768,5395526,231,132
16703,229,582,2485,2270,145,468,1446,1277,6378121,5395849,229,145
16704,229,590,2465,2273,130,488,1449,1265,6378482,5396207,229,130
16705,259,606,2408,2191,144,471,1456,1292,6378829,5396534,259,144
16706,259,642,2491,2244,161,439,1402,1276,6379212,5396812,259,161
16707,239,663,2502,2215,143,468,1421,1265,6379636,5397137,239,143
16708,239,576,2385,2173,149,470,1367,1244,6379973,5397458,239,149
16709,229,621,2431,2201,156,488,1382,1210,6380365,5397790,229,156
16710,246,634,2408,2162,152,475,1420,1275,6380753,5398113,246,152
16711,228,599,2463,2246,128,460,1389,1250,6381124,5398445,228,128
16712,240,568,2381,2166,138,475,1389,1221,6381452,5398782,240,138
16713,213,577,2455,2259,137,460,1418,1304,6381816,5399105,213,137
16714,222,612,2442,2192,133,462,1426,1276,6382206,5399434,222,133
16715,226,633,2478,2217,140,473,1390,1268,6382613,5399767,226,140
16716,235,569,2420,2218,133,468,1389,1248,6382947,5400102,235,133
16717,200,599,2421,2188,145,436,1409,1308,6383346,5400393,200,145
16718,230,602,2557,2330,145,474,1437,1266,6383718,5400722,230,145
16719,218,605,2490,2283,121,439,1421,1275,6384105,5401040,218,121
16720,210,586,2436,2237,123,488,1419,1267,6384481,5401405,210,123
16721,211,613,2518,2281,135,454,1413,1291,6384883,5401724,211,135
16722,237,647,2501,2229,140,492,1373,1215,6385293,5402076,237,140
16723,212,600,2447,2220,137,470,1417,1272,6385681,5402409,212,137
16724,247,636,2464,2196,155,464,1432,1291,6386070,5402718,247,155
16725,241,588,2426,2210,132,472,1420,1268,6386417,5403058,241,132
16726,207,558,2457,2270,130,490,1431,1267,6386768,5403418,207,130
16727,226,587,2515,2332,150,459,1394,1268,6387129,5403727,226,150
16728,215,590,2437,2212,150,535,1443,1230,6387504,5404112,215,150
16729,233,637,2457,2205,153,461,1429,1281,6387908,5404420,233,153
16730,249,586,2485,2272,155,433,1383,1293,6388245,5404698,249,155
16731,227,626,2345,2085,143,459,1393,1291,6388644,5405014,227,143
16732,215,620,2468,2241,164,451,1392,1267,6389049,5405301,215,164
